positive,negative,c_target,y-axis,mean_err,x-axis,uniqueness_score,homogeneity_score,approx_score,teaching_set
539,420,11,0.5,0.55,0.55,0.0072000000000000015,0.08695652173913043,0.4697004608294929,"(539, 420)"
539,605,7,0.95,0.5800000000000001,0.5800000000000001,0.0648,0.22981366459627325,0.4644777265745008,"(539, 605)"
546,217,13,0.6,0.35,0.35,0.0,0.20855614973262032,0.4378456221198156,"(546, 217)"
546,390,7,0.93,0.47,0.47,0.005400000000000001,0.14705882352941174,0.4652073732718895,"(546, 390)"
550,231,5,0.8,0.38,0.38,0.11520000000000002,0.396584440227704,0.6160906298003075,"(550, 231)"
550,405,11,0.56,0.51,0.51,0.0,0.16129032258064516,0.4676843317972349,"(550, 405)"
560,475,7,0.73,0.39,0.39,0.002099999999999999,0.17261904761904762,0.46123271889400924,"(560, 475)"
560,812,5,0.65,0.4,0.4,0.016799999999999995,0.24038461538461536,0.6098502304147468,"(560, 812)"
561,737,17,0.98,0.48,0.48,0.0032000000000000023,0.19091673675357446,0.4182027649769585,"(561, 737)"
561,850,11,0.44,0.48,0.48,0.03600000000000001,0.29756097560975614,0.475921658986175,"(561, 850)"
572,78,11,0.49,0.43999999999999995,0.43999999999999995,0.0018,0.19575757575757574,0.47056451612903216,"(572, 78)"
572,792,13,0.84,0.69,0.69,0.004199999999999999,0.10606060606060606,0.45103686635944695,"(572, 792)"
585,364,5,0.85,0.48,0.48,0.21,0.42022263450834874,0.607603686635945,"(585, 364)"
585,645,13,0.6,0.69,0.69,0.0,0.1020408163265306,0.4461405529953916,"(585, 645)"
595,385,17,0.98,0.48,0.48,0.00012000000000000002,0.075,0.405837173579109,"(595, 385)"
595,425,7,0.81,0.39,0.39,0.00032000000000000013,0.15263157894736842,0.4599846390168971,"(595, 425)"
595,952,5,0.83,0.43,0.43,0.0010799999999999996,0.1731060606060606,0.596082949308756,"(595, 952)"
605,132,5,0.92,0.6699999999999999,0.6699999999999999,0.0,0.0930232558139535,0.6131336405529957,"(605, 132)"
605,520,11,0.62,0.54,0.54,0.0243,0.19302325581395352,0.4688556067588324,"(605, 520)"
616,891,7,0.79,0.49,0.49,0.01038,0.18445121951219512,0.4619815668202766,"(616, 891)"
616,973,11,0.55,0.37,0.37,0.0,0.24133504492939667,0.4631912442396312,"(616, 973)"
630,91,5,0.93,0.4,0.4,0.09000000000000001,0.325,0.6264976958525348,"(630, 91)"
630,205,7,0.52,0.49,0.49,0.044099999999999986,0.2851851851851852,0.46123271889400924,"(630, 205)"
637,532,13,0.55,0.41000000000000003,0.41000000000000003,0.0525,0.20215311004784692,0.4378456221198156,"(637, 532)"
637,624,7,0.82,0.55,0.55,0.0525,0.13636363636363638,0.46307603686635945,"(637, 624)"
650,315,13,0.35,0.44,0.44,0.0,0.08620689655172414,0.4584485407066051,"(650, 315)"
650,624,5,0.77,0.55,0.55,0.024,0.1724137931034483,0.6004032258064519,"(650, 624)"
660,726,5,0.83,0.62,0.62,0.2016,0.3916666666666667,0.6131336405529957,"(660, 726)"
660,790,11,0.57,0.62,0.62,0.0,0.1,0.4676843317972349,"(660, 790)"
663,325,17,1.0,0.46,0.46,0.007199999999999998,0.14440993788819875,0.40883256528417816,"(663, 325)"
663,867,13,0.9,0.5800000000000001,0.5800000000000001,0.036,0.20869565217391306,0.44936635944700454,"(663, 867)"
665,730,7,0.92,0.5800000000000001,0.5800000000000001,0.011520000000000002,0.16717325227963525,0.46123271889400924,"(665, 730)"
665,938,5,0.89,0.45,0.45,0.0056700000000000006,0.23636968085106386,0.6098502304147468,"(665, 938)"
680,357,5,0.76,0.38,0.38,0.024480000000000002,0.3125,0.6082949308755763,"(680, 357)"
680,770,17,0.95,0.45,0.45,0.04999999999999999,0.5875,0.4209677419354838,"(680, 770)"
693,110,7,0.85,0.43,0.43,0.002,0.13357843137254902,0.4644777265745008,"(693, 110)"
693,994,11,0.31,0.54,0.54,0.00144,0.11875,0.4631912442396312,"(693, 994)"
700,427,5,0.64,0.18,0.18,0.0006000000000000003,0.3522727272727273,0.6098502304147468,"(700, 427)"
