x,x-axis,c_target,y-axis,uniqueness_score,homogeneity_score,approx_score,teaching_set
204,0.68,17,0.34,0.0,0.22727272727272727,0.3837455830388691,204
205,0.72,5,0.06,0.0,0.2173913043478261,0.6204946996466429,205
208,0.8,13,0.06,0.0,0.2,0.3088339222614837,208
209,0.72,11,0.35,0.00019250000000000018,0.14864864864864866,0.4296819787985864,209
215,0.7,5,0.0,0.0,0.2222222222222222,0.6204946996466429,215
217,0.65,7,0.18,0.0,0.22891566265060243,0.4445229681978797,217
224,0.48,7,0.02,0.004400000000000001,0.29411764705882354,0.4445229681978797,224
225,0.11,5,0.04,0.524875,0.6451612903225807,0.6204946996466429,225
230,0.73,5,0.75,0.0,0.2150537634408602,0.6204946996466429,230
234,0.71,13,0.47,0.0,0.21978021978021978,0.3088339222614837,234
235,0.36,5,0.31,0.08848125000000001,0.35714285714285715,0.6204946996466429,235
240,0.49,5,0.0,0.002437500000000004,0.2898550724637681,0.6204946996466429,240
242,0.75,11,0.04,0.0,0.21052631578947367,0.4296819787985864,242
247,0.51,13,0.13,0.010125000000000004,0.28169014084507044,0.3088339222614837,247
250,0.03,5,0.0,0.8573749999999999,0.8695652173913044,0.6204946996466429,250
252,0.77,7,0.14,0.0,0.2061855670103093,0.4445229681978797,252
253,0.61,11,0.04,0.0008100000000000006,0.2337662337662338,0.4296819787985864,253
259,0.68,7,0.33,0.0005250000000000002,0.14705882352941177,0.4445229681978797,259
264,0.79,11,0.0,0.0,0.20202020202020202,0.4296819787985864,264
265,0.74,5,0.02,0.0,0.2127659574468085,0.6204946996466429,265
266,0.8,7,0.37,0.0,0.19387755102040813,0.4445229681978797,266
270,0.63,5,0.05,0.0003125000000000008,0.24096385542168672,0.6204946996466429,270
272,0.79,17,0.45,0.0,0.20202020202020202,0.3837455830388691,272
285,0.8,5,0.27,0.0,0.2,0.6204946996466429,285
287,0.62,7,0.64,0.0,0.24390243902439027,0.4445229681978797,287
289,0.56,17,0.01,0.0,0.2631578947368421,0.3837455830388691,289
290,0.8,5,0.2,0.0,0.2,0.6204946996466429,290
294,0.77,7,0.01,0.0,0.2061855670103093,0.4445229681978797,294
295,0.74,5,0.1,0.0,0.2127659574468085,0.6204946996466429,295
297,0.77,11,0.65,0.0,0.2061855670103093,0.4296819787985864,297
299,0.42,13,0.32,0.05070000000000001,0.27083333333333337,0.3088339222614837,299
300,0.52,5,0.0,0.0015750000000000024,0.2777777777777778,0.6204946996466429,300
301,0.55,7,0.49,0.005906249999999998,0.23076923076923078,0.4445229681978797,301
305,0.79,5,0.0,0.0,0.20202020202020202,0.6204946996466429,305
306,0.8,17,0.68,0.0,0.2,0.3837455830388691,306
310,0.78,5,0.11,0.0,0.2040816326530612,0.6204946996466429,310
312,0.79,13,0.03,0.0,0.20202020202020202,0.3088339222614837,312
319,0.6,11,0.6,0.0,0.15517241379310343,0.4296819787985864,319
320,0.34,5,0.01,0.06544999999999997,0.37037037037037035,0.6204946996466429,320
322,0.81,7,0.37,0.0,0.1411764705882353,0.4445229681978797,322
323,0.54,17,0.43,0.0023625000000000035,0.2571428571428572,0.3837455830388691,323
329,0.72,7,0.47,0.0,0.16666666666666669,0.4445229681978797,329
335,0.75,5,0.01,0.0,0.21052631578947367,0.6204946996466429,335
336,0.79,7,0.04,0.0,0.20202020202020202,0.4445229681978797,336
338,0.8,13,0.28,0.0,0.2,0.3088339222614837,338
341,0.68,11,0.0,0.0,0.22093023255813954,0.4296819787985864,341
343,0.28,7,0.0,0.07999999999999999,0.4166666666666667,0.4445229681978797,343
345,0.78,5,0.15,0.0,0.2040816326530612,0.6204946996466429,345
351,0.73,13,0.49,0.0,0.2150537634408602,0.3088339222614837,351
352,0.79,11,0.11,0.0,0.20202020202020202,0.4296819787985864,352
355,0.46,5,0.25,0.03037500000000001,0.2903225806451613,0.6204946996466429,355
360,0.26,5,0.02,0.16799999999999998,0.4347826086956522,0.6204946996466429,360
363,0.76,11,0.01,0.0,0.20833333333333334,0.4296819787985864,363
365,0.46,5,0.0,0.0,0.30303030303030304,0.6204946996466429,365
370,0.76,5,0.08,0.0,0.20833333333333334,0.6204946996466429,370
371,0.66,7,0.29,0.0005062500000000004,0.19736842105263155,0.4445229681978797,371
375,0.24,5,0.0,0.22275000000000003,0.45454545454545453,0.6204946996466429,375
377,0.46,13,0.13,0.025199999999999993,0.2903225806451613,0.3088339222614837,377
378,0.73,7,0.89,0.0,0.2150537634408602,0.4445229681978797,378
